Data array voltage (V), SRAM cell nfet on current (A), SRAM cell nfet off current (A), SRAM cell pfet on current UNUSED (A), SRAM cell pfet off current UNUSED (A), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power
0.18, 9.6908e-06, 3.1584e-07, 1.1557e-07, 6.0116e-10, 28047.2, 67593.8, 4.58038, 4.5994, 0.0440884, 4.55011, 4.82147e-08, 23.9315, 10.874, 139.222, 0.190131, 0.13073, 0.589264, 0.184099
0.17, 8.029e-06, 3.0674e-07, 8.33e-08, 5.7232e-10, 31971.6, 77051.6, 5.12865, 5.14767, 0.0438922, 4.17345, 4.68249e-08, 23.5548, 10.874, 137.715, 0.17718, 0.12122, 0.589264, 0.186113
0.16, 6.6234e-06, 2.9778e-07, 5.9822e-08, 5.4418e-10, 36476.7, 87908.9, 5.75816, 5.77718, 0.0436961, 3.81316, 4.54565e-08, 23.1945, 10.874, 136.274, 0.164399, 0.111926, 0.589264, 0.188081
0.15, 5.4432e-06, 2.8896e-07, 4.2798e-08, 5.1674e-10, 41611.6, 100284, 6.4757, 6.49472, 0.0435, 3.46891, 4.41094e-08, 22.8503, 10.874, 134.897, 0.15181, 0.102861, 0.589264, 0.190001
0.14, 4.4548e-06, 2.8014e-07, 3.0506e-08, 4.8972e-10, 47454.4, 114365, 7.29215, 7.31117, 0.0433041, 3.13878, 4.27625e-08, 22.5201, 10.874, 133.577, 0.139377, 0.0939919, 0.589264, 0.19188
0.13, 3.6316e-06, 2.7146e-07, 2.1658e-08, 4.6326e-10, 54053.3, 130268, 8.21407, 8.23308, 0.0431083, 2.82423, 4.14369e-08, 22.2056, 10.874, 132.318, 0.127186, 0.0853768, 0.589264, 0.193704
0.12, 2.9484e-06, 2.6264e-07, 1.5316e-08, 4.3694e-10, 61457.1, 148112, 9.24806, 9.26708, 0.0429126, 2.52224, 4.00899e-08, 21.9036, 10.874, 131.11, 0.115152, 0.0769501, 0.589264, 0.195489
0.11, 2.3814e-06, 2.5368e-07, 1.07744e-08, 4.109e-10, 69748.9, 168095, 10.4055, 10.4245, 0.0427169, 2.23314, 3.87216e-08, 21.6145, 10.874, 129.954, 0.103317, 0.0687364, 0.589264, 0.197228
0.1, 1.9152e-06, 2.4472e-07, 7.5376e-09, 3.8472e-10, 78842.9, 190011, 11.6737, 11.6927, 0.0425214, 1.95839, 3.73533e-08, 21.3397, 10.874, 128.855, 0.091772, 0.0607936, 0.589264, 0.198911
0.09, 1.5302e-06, 2.3534e-07, 5.236e-09, 3.5812e-10, 88811.9, 214037, 13.0622, 13.0812, 0.0423259, 1.69496, 3.59209e-08, 21.0763, 10.874, 127.801, 0.0804202, 0.0530499, 0.589264, 0.200551
0.08, 1.21254e-06, 2.2526e-07, 3.6064e-09, 3.3096e-10, 99625.6, 240098, 14.5656, 14.5846, 0.0421306, 1.44207, 3.43817e-08, 20.8234, 10.874, 126.79, 0.0692525, 0.045495, 0.589264, 0.202151
0.07, 9.5144e-07, 2.1448e-07, 2.4542e-09, 3.0254e-10, 111095, 267738, 16.1555, 16.1745, 0.0419353, 1.2014, 3.27357e-08, 20.5828, 10.874, 125.827, 0.0583694, 0.0381922, 0.589264, 0.203697
0.06, 7.3612e-07, 2.0216e-07, 1.6436e-09, 2.7244e-10, 123078, 296617, 17.8088, 17.8278, 0.0417402, 0.970601, 3.08546e-08, 20.352, 10.874, 124.904, 0.0476908, 0.0310832, 0.589264, 0.205203
0.05, 5.5762e-07, 1.876e-07, 1.07548e-09, 2.3996e-10, 135397, 326306, 19.4951, 19.5142, 0.0415451, 0.750562, 2.86317e-08, 20.1319, 10.874, 124.024, 0.0372822, 0.0242071, 0.589264, 0.206659
0.04, 4.0838e-07, 1.6898e-07, 6.7858e-10, 2.0398e-10, 147901, 356443, 21.1826, 21.2016, 0.0413501, 0.540838, 2.57892e-08, 19.9222, 10.874, 123.185, 0.0271475, 0.0175619, 0.589264, 0.208066
0.03, 2.8196e-07, 1.4434e-07, 4.032e-10, 1.6352e-10, 160661, 387193, 22.8558, 22.8749, 0.0411552, 0.346472, 2.20281e-08, 19.7278, 10.874, 122.407, 0.0175626, 0.0113219, 0.589264, 0.209388
0.02, 1.7346e-07, 1.10376e-07, 2.1364e-10, 1.16984e-10, 174104, 419590, 24.5, 24.519, 0.0409605, 0.176626, 1.68443e-08, 19.558, 10.874, 121.728, 0.00903087, 0.00580395, 0.589264, 0.210557
0.01, 7.9716e-08, 6.342e-08, 8.512e-11, 6.2972e-11, 189422, 456508, 25.9073, 25.9263, 0.0407658, 0.0507417, 9.67821e-09, 19.4321, 10.874, 121.224, 0.00261123, 0.00167431, 0.589264, 0.211431
0, 3.5518e-62, 3.5518e-62, 1.13708e-62, 1.13708e-62, 0, 0, 0.927015, 0.376715, 0.0405712, 0, -nan, 19.3814, 10.874, 121.021, 0, 0, 0.589264, 0.211786
