Data array voltage (V), SRAM cell nfet on current (A/um), SRAM cell nfet off current (A/um), SRAM cell pfet on current UNUSED (A/um), SRAM cell pfet off current UNUSED (A/um), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power, No. banks
0.33, 8.5778e-05, 4.6984e-07, 8.7486e-06, 1.15458e-09, 5809.18, 14000.1, 3.53252, 3.07316, 0.309582, 397.176, 7.1738e-08, 699.741, 232.833, 3730.3, 0.567604, 0.425892, 0.880653, 0.21987, 4
0.32, 7.714e-05, 4.585e-07, 6.86e-06, 1.10908e-09, 6263.94, 15096.1, 3.65327, 3.19391, 0.308808, 375.84, 7.00056e-08, 678.405, 232.833, 3644.95, 0.554005, 0.41245, 0.880653, 0.225018, 4
0.31, 6.902e-05, 4.4716e-07, 5.334e-06, 1.06498e-09, 6782.09, 16344.8, 3.79115, 3.33178, 0.308034, 355.085, 6.82732e-08, 657.65, 232.833, 3561.93, 0.53993, 0.398755, 0.880653, 0.230263, 4
0.3, 6.1418e-05, 4.361e-07, 4.116e-06, 1.02228e-09, 7375.69, 17775.4, 3.94942, 3.49006, 0.307261, 335.126, 6.65836e-08, 637.692, 232.833, 3482.1, 0.52553, 0.384971, 0.880653, 0.235542, 4
0.29, 5.4362e-05, 4.2518e-07, 3.1528e-06, 9.8084e-10, 8055.26, 19413.2, 4.13096, 3.67159, 0.306488, 315.839, 6.49155e-08, 618.405, 232.833, 3404.95, 0.510733, 0.371036, 0.880653, 0.240879, 4
0.28, 4.7838e-05, 4.1426e-07, 2.3982e-06, 9.408e-10, 8838.16, 21300, 4.34047, 3.88111, 0.305715, 297.112, 6.32474e-08, 599.678, 232.833, 3330.04, 0.495454, 0.356887, 0.880653, 0.246297, 4
0.27, 4.1846e-05, 4.0376e-07, 1.813e-06, 9.0188e-10, 9742.87, 23480.3, 4.583, 4.12363, 0.304943, 279.236, 6.16435e-08, 581.801, 232.833, 3258.54, 0.479951, 0.342775, 0.880653, 0.251702, 4
0.26, 3.6386e-05, 3.934e-07, 1.3622e-06, 8.6422e-10, 10789.9, 26003.6, 4.86411, 4.40474, 0.30417, 261.991, 6.0061e-08, 564.556, 232.833, 3189.55, 0.464065, 0.328561, 0.880653, 0.257146, 4
0.25, 3.1458e-05, 3.8304e-07, 1.0178e-06, 8.2768e-10, 12000.1, 28920.3, 5.18949, 4.73013, 0.303398, 245.277, 5.84786e-08, 547.842, 232.833, 3122.7, 0.447714, 0.314186, 0.880653, 0.262651, 4
0.24, 2.7034e-05, 3.7296e-07, 7.5642e-07, 7.924e-10, 13405.3, 32306.9, 5.56778, 5.10842, 0.302626, 229.266, 5.69389e-08, 531.832, 232.833, 3058.66, 0.431088, 0.299826, 0.880653, 0.26815, 4
0.23, 2.31e-05, 3.6316e-07, 5.593e-07, 7.581e-10, 15034.6, 36233.5, 6.00689, 5.54752, 0.301854, 213.937, 5.5442e-08, 516.503, 232.833, 2997.34, 0.414204, 0.285503, 0.880653, 0.273636, 4
0.22, 1.9614e-05, 3.5336e-07, 4.116e-07, 7.2478e-10, 16936.9, 40817.9, 6.52013, 6.06077, 0.301082, 199.111, 5.39452e-08, 501.676, 232.833, 2938.04, 0.396891, 0.27108, 0.880653, 0.279159, 4
0.21, 1.6576e-05, 3.4384e-07, 3.0142e-07, 6.9244e-10, 19130.1, 46103.5, 7.11234, 6.65297, 0.30031, 184.938, 5.24911e-08, 487.503, 232.833, 2881.34, 0.379357, 0.256738, 0.880653, 0.284652, 4
0.2, 1.39258e-05, 3.3432e-07, 2.1994e-07, 6.6122e-10, 21686.4, 52264.1, 7.80318, 7.34381, 0.299539, 171.252, 5.10371e-08, 473.817, 232.833, 2826.6, 0.361431, 0.242344, 0.880653, 0.290165, 4
